,index,약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,경도,위도,geometry
96,121,연남약국,02-336-1533,서울특별시 마포구 양화로21길 31  (동교동),11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,126.924498193749,37.5595015779604,POINT (949171.522901307 1951283.2296644475)
97,122,연진약국,02-462-3355,서울특별시 광진구 아차산로29길 12,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,,,127.068441103959,37.5414311365009,POINT (961875.4695901568 1949210.3065901138)
98,123,온누리대산약국,02-853-4967,"서울특별시 관악구 시흥대로 560, 1층 (신림동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,17:00~22:00,,126.901999065663,37.4829262301224,POINT (947130.3687707548 1942800.012433599)
99,124,완미약국,02-457-3583,"서울특별시 광진구 자양로 194, (구의동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,16:00~23:00,16:00~23:00,127.085455160277,37.5448433965441,POINT (963380.1917085878 1949582.114550509)
100,125,외대조은약국,02-960-4983,"서울특별시 동대문구 휘경로 10, 1층 (이문동)",09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,10:00~24:00,10:00~24:00,127.061058277535,37.5959422581056,POINT (961251.5062706642 1955261.049996536)
101,127,우정약국,02-432-4927,"서울특별시 중랑구 망우로 428, 우정약국 1층 (망우동)",09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:20,09:30~22:00,09:30~22:00,127.0997353556,37.5994888819392,POINT (964667.497963802 1955639.2755214756)
102,128,우주약국,02-481-5050,서울특별시 강동구 양재대로 1571 홈플러스 지하 2층,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:30~23:00,,127.14225531407,37.5457145865749,POINT (968398.1549829964 1949658.1606784482)
103,129,원이약국,02-333-3131,"서울특별시 마포구 와우산로 94, 제2기숙사 지하1층 B110호 (상수동)",09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,11:00~22:00,09:30~23:00,,126.924990619497,37.5525192523979,POINT (949210.2755821763 1950508.3083382235)
104,130,원플러스약국,02-3422-6953,"서울특별시 중랑구 신내로 201, 1층 (신내동, 홈플러스 서울 신내점)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,09:00~23:00,127.093597352593,37.6159839060513,POINT (964133.5981976502 1957471.6496190915)
105,131,유경약국,02-591-5027,"서울특별시 서초구 방배중앙로 167, (방배동)",08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:00,,126.98608454569,37.4939196070848,POINT (954571.1324556359 1943975.7595982393)
106,132,윤호약국,02-400-0148,"서울특별시 송파구 마천로 311, 윤호약국 (마천동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,,127.150361806674,37.4954514166429,POINT (969093.5295002793 1944079.0913685064)
107,135,이오당약국,02-577-1711,서울특별시 서초구 동산로6길 38  (양재동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,127.04449384586,37.469460109253,POINT (959721.2739303131 1941235.5564438154)
108,136,이원약국,02-946-1958,서울특별시 강북구 삼양로 244 (미아동),08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,127.01856483277,37.6251438661727,POINT (957516.9014524914 1958519.2256359588)
109,137,일출약국,02-333-3806,"서울특별시 마포구 독막로 85, 1층 (상수동)",11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,126.922761170836,37.5479338964558,POINT (949010.2262509648 1950000.7927046097)
110,138,일층가락약국,02-404-2101,"서울특별시 송파구 양재대로 932, 105호 (가락동, 가락몰 관리업무동)",08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~17:00,,,127.108713599026,37.4945376921828,POINT (965411.5765002295 1943992.2094917663)
111,139,자명약국,02-867-6968,서울특별시 구로구 디지털로 219 (가리봉동),18:00~23:00,18:00~23:00,18:00~23:00,18:00~23:00,18:00~23:00,18:00~23:00,,,126.89023820898,37.4800368070682,POINT (946088.4979675553 1942486.1176175778)
112,140,자연주의약국,02-2235-0306,서울특별시 중구 다산로 90 ,08:50~23:00,08:50~23:00,08:50~23:00,08:50~23:00,08:50~23:00,08:50~22:00,,,127.00887513678,37.5523213690473,POINT (956619.6068363459 1950444.3374131913)
113,141,자인당약국,02-933-4956,서울특별시 노원구 노해로 508,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,13:00~21:00,09:00~23:30,127.066190974274,37.6547035620655,POINT (961734.7428482687 1961778.2657017594)
114,143,장수약국,02-843-2843,"서울특별시 영등포구 신풍로 46, (신길동)",08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,,08:00~22:50,126.911028107793,37.4999038440249,POINT (947940.4243920794 1944678.5451745722)
115,145,정원약국,02-755-5866,"서울특별시 중구 세종대로18길 10, (태평로2가)",08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,10:00~22:00,,11:00~22:00,126.97761953445,37.5637093579091,POINT (953865.8444298259 1951722.659721294)
116,147,종각호약국,02-6949-0940,"서울특별시 종로구 종로 80-2, 삼양빌딩 1층 (종로2가)",09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~22:00,14:00~20:00,14:00~20:00,126.986424488463,37.5699464011799,POINT (954647.2431887649 1952410.3429344068)
117,148,종로세명약국,02-3492-9963,"서울특별시 도봉구 방학로 176, (방학동)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,09:00~22:30,15:00~22:30,14:00~23:00,127.032541512918,37.6625112264806,POINT (958770.9059526047 1962658.7609194499)
118,149,종로프라자약국,02-2012-1276,"서울특별시 용산구 한강대로23길 55 (한강로3가, 이마트내)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~23:00,126.964741503485,37.5297718014452,POINT (952707.0732860692 1947963.864699316)
119,150,중경당약국,02-2246-1220,"서울특별시 동대문구 장한로 58, 1층 (장안동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,127.068071480245,37.5661158049293,POINT (961855.4000402188 1951949.0840569197)
120,151,지현약국,02-842-6905,서울특별시 영등포구 영등포로 399-5  (신길동),09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,11:00~23:30,,126.922230767686,37.5138402941361,POINT (948940.1363489545 1946218.5762867648)
121,152,진선약국,02-567-0429,서울특별시 강남구 선릉로 424  (대치동),09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,10:00~21:00,,127.050065020431,37.5029101502925,POINT (960231.650525428 1944944.2455834565)
122,153,진성온누리약국,02-3494-5177,"서울특별시 도봉구 도봉로 681, (방학동)",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,15:00~19:00,,127.042536029765,37.6653068531475,POINT (959653.9244744696 1962964.578839043)
123,155,참빛약국,02-972-2288,"서울특별시 노원구 동일로 986, 102동 1층 131-A호 (공릉동, 노원 프레미어스 엠코)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,,127.07591204414,37.6182161017816,POINT (962573.9218850363 1957726.2063848637)
124,156,참약국,070-8163-2488,서울특별시 마포구 와우산로 149 1층,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,126.929704861685,37.5546048094002,POINT (949628.0849519619 1950737.1539462958)
125,157,창덕약국,02-972-2933,서울특별시 노원구 동일로182길 20 (공릉동),09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,127.075320842394,37.6229905429467,POINT (962524.1443531908 1958256.1459858334)
126,158,초원온누리약국,02-3436-8743,"서울특별시 광진구 강변역로4길 10, 강변역지너스타워 307호 (구의동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~18:00,,09:00~18:00,127.093405063055,37.5353492183772,POINT (964077.913837285 1948525.7245831664)
127,160,친절한약국,02-421-6251,서울특별시 송파구 올림픽로32길 13 (방이동),11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,14:00~24:00,14:00~24:00,127.109292108824,37.514932216889,POINT (965472.1089468189 1946254.6350871334)
128,161,코끼리약국,02-420-2290,"서울특별시 송파구 석촌호수로 78 (잠실동, 1층 30호)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~22:30,11:00~22:30,127.08605097671,37.5093273682022,POINT (963415.4838100339 1945641.595729947)
129,162,큰길약국,02-553-1517,"서울특별시 강남구 강남대로 370, 지하1층 (역삼동)",09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,127.029219161362,37.4958597444988,POINT (958385.226881621 1944171.0610944296)
130,163,태평양약국,02-322-8344,"서울특별시 마포구 홍익로 1, 1층 (서교동)",09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,126.924010816125,37.5528408227331,POINT (949123.9488530564 1950544.5148294473)
131,164,파랑새약국,02-743-7735,"서울특별시 종로구 대학로 121, 1호, 2호 (명륜4가)",08:30~22:50,08:30~22:50,08:30~22:50,08:30~22:50,08:30~22:50,,,14:00~22:50,127.001600727177,37.5820431121419,POINT (955994.5526322098 1953745.1978768872)
132,165,하님약국,02-939-1827,"서울특별시 노원구 한글비석로 410, 1층 (상계동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,09:00~21:30,127.071235040175,37.6612514822701,POINT (962182.9914112781 1962502.6879391812)
133,167,행복한약국,02-927-8253,"서울특별시 성북구 보문로34길 59, 1층(동선동1가)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:30~23:00,09:30~23:00,09:30~23:00,127.01858128589,37.5911110547847,POINT (957498.9921376762 1954743.4244978798)
134,168,행운약국,02-765-9997,서울특별시 종로구 대명길 21-2(명륜4가),11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,127.000361043962,37.5832382903004,POINT (955885.8011267011 1953878.3787034857)
135,169,헬로팜약국,02-415-1121,"서울특별시 송파구 올림픽로12길 5, 정호빌딩 (잠실동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~22:00,13:00~22:00,127.08309038088,37.5110669845906,POINT (963154.6824106041 1945835.7502251451)
136,170,호림약국,02-468-1027,"서울특별시 광진구 동일로30길 28, (화양동)",14:00~23:00,14:00~23:00,14:00~23:00,14:00~23:00,14:00~23:00,14:00~23:00,17:00~22:00,,127.068851081754,37.5474901175054,POINT (961914.770295825 1949882.3498202031)
137,171,호수약국,02-415-8852,"서울특별시 송파구 송파대로49길 52, A동 102호 (석촌동)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,127.098968471356,37.5061875220992,POINT (964555.6430622415 1945288.3062954636)
138,172,홍대365약국,02-3141-1084,"서울특별시 마포구 와우산로27길 43, 1층 (서교동)",11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,126.926131923762,37.5547020082202,POINT (949312.5645741916 1950749.858355815)
139,173,홍대수약국,02-334-3005,"서울특별시 마포구 홍익로3길 11, 1층 (서교동)",11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,126.922145321052,37.5538303445567,POINT (948959.8465680488 1950655.3087264076)
140,175,홍대참신한약국,02-6368-5799,"서울특별시 마포구 어울마당로 62, 1층 (서교동)",12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~25:00,12:00~25:00,12:00~23:00,12:00~23:00,126.921429397327,37.5506007838824,POINT (948894.4053620438 1950297.3937883293)
141,176,화랑온누리약국,02-975-4151,서울특별시 노원구 공릉로 150 (공릉동) 1층,08:45~22:30,08:45~22:30,08:45~22:30,08:45~22:30,08:45~22:00,08:45~22:00,17:00~22:30,,127.079575883266,37.6233728320458,POINT (962899.8226050013 1958296.8688074285)
142,177,환승센터약국,02-424-2365,"서울특별시 송파구 잠실로 지하 156, 잠실광역환승센터 지하1층 101호 (신천동)",08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,127.101752694786,37.5113200708735,POINT (964804.1319705159 1945856.6842085987)
143,178,흥명약국,02-963-0617,"서울특별시 동대문구 고산자로30길 56, (용두동)",10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00,14:00~22:30,,127.041323856389,37.5754616968648,POINT (959498.3045745736 1952997.1561409861)
